place_id,business_type,location_query,name,address,phone,website,rating,review_count,status,qualify_score,qualify_worth_pursuing,qualify_notes,screenshot_desktop_path,screenshot_mobile_path,approved_for_site,approved_for_outreach,site_filename,site_url,site_generated_at,contact_email,draft_id,email_message_id,email_thread_id,email_sent_at,followup_draft_id,followup_sent_at,expire_at,reply_classification,last_reply_message_id,claimed_at,error,created_at,updated_at
ChIJ-_NrlCQn9ocROOYQL0CEvis,spray foam insulation,Duluth MN,Spray Foam Insulation Plus,"7600 4th Ave S, Minneapolis, MN 55423, USA",(612) 730-9417,https://sprayfoaminsulationplus.com/,4.9,56,disqualified,6,False,"The site is reasonably modern with a clear quote form and phone CTA on desktop, but the mobile version loses the form above the fold and uses somewhat heavy/decorative fonts that feel slightly dated; overall it's functional enough to not urgently need a redesign.",screenshots/ChIJ-_NrlCQn9ocROOYQL0CEvis/desktop.png,screenshots/ChIJ-_NrlCQn9ocROOYQL0CEvis/mobile.png,False,False,,,,info@sfiplus.com,,,,,,,,,,,,2026-07-28T18:01:22.428107+00:00,2026-07-28T18:51:40.923289+00:00
ChIJ-xS9qJVT-QkRL_64WscgihI,spray foam insulation,Duluth MN,Saint Paul Spray Foam Insulation Pros,"288 Marie Ave E #207, West St Paul, MN 55118, USA",(651) 369-8365,https://www.sprayfoamsaintpaul.com/,4.9,47,disqualified,1,True,site unreachable: HTTP 429,,,False,False,,,,,,,,,,,,,,,,2026-07-28T18:01:22.423016+00:00,2026-07-28T18:51:40.927015+00:00
ChIJ-ySfb_N7BYgR3gZz_JOzyFE,spray foam insulation,Milwaukee WI,ALL ABOUT INSULATION,"18443 Durand Ave, Union Grove, WI 53182, USA",(262) 412-7171,https://www.facebook.com/ALL.ABOUT.INSULATION/,4.9,58,disqualified,1,True,"This business has no actual website — they are using only a Facebook page as their web presence, which means no proper site, no visible phone number or CTA above the fold, and visitors are greeted with a Facebook login wall instead of business information.",screenshots/ChIJ-ySfb_N7BYgR3gZz_JOzyFE/desktop.png,screenshots/ChIJ-ySfb_N7BYgR3gZz_JOzyFE/mobile.png,False,False,,,,,,,,,,,,,,,,2026-07-28T18:01:04.218024+00:00,2026-07-28T18:51:40.930382+00:00
ChIJ0YyYMQAB9ocR1OU3VGb9_8g,spray foam insulation,Duluth MN,South Shore Foam,"3757 Haug Ave SE, Rockford, MN 55373, USA",(612) 876-1200,https://southshorefoam.com/,5.0,26,draft_created,4,True,"The site uses a generic template with stock photos and the hero headline says 'Concrete Contractor & Foundation Solutions' despite the business being a spray foam insulation company, suggesting a poorly customized template. On mobile, the phone number and email are not visible above the fold, the logo area is oversized with a redundant cartoon mascot image taking up excessive space, and no CTA is visible without scrolling.",screenshots/ChIJ0YyYMQAB9ocR1OU3VGb9_8g/desktop.png,screenshots/ChIJ0YyYMQAB9ocR1OU3VGb9_8g/mobile.png,True,True,southshorefoam.com.html,https://stevendelarwelle.github.io/vet-demo-sites/southshorefoam.com.html,2026-07-28T20:40:49.142310+00:00,southshorefoam@gmail.com,r2759164074140149729,19fab84a0311f68b,19fab84a0311f68b,,,,,,,,,2026-07-28T18:01:22.447319+00:00,2026-07-29T01:37:03.724969+00:00
ChIJ22e40Dd_CgIRxPbsC6ROtk4,spray foam insulation,Milwaukee WI,Healthy Homes Insulation,"S40W24210 Rockwood Way, Waukesha, WI 53189, USA",(262) 205-6837,https://www.healthyhomesinsulation.com/,4.9,101,disqualified,1,True,"The website is stuck on a security/cookie check screen and never loads actual content, meaning visitors see no business information, no contact details, and no CTAs — the site is essentially non-functional. With a 4.9 rating and 101 reviews, this is a real, active business that desperately needs a working website.",screenshots/ChIJ22e40Dd_CgIRxPbsC6ROtk4/desktop.png,screenshots/ChIJ22e40Dd_CgIRxPbsC6ROtk4/mobile.png,False,False,,,,,,,,,,,,,,,,2026-07-28T18:01:04.209488+00:00,2026-07-28T18:51:40.937255+00:00
ChIJ251ltGm7_YcRp5hVCEc3ca0,spray foam insulation,Wausau WI,All Foam Spray Insulation,"1600 WI-56, Richland Center, WI 53581, USA",(608) 604-4610,https://allfoamspray.com/,5.0,1,disqualified,3,True,"The desktop homepage appears almost entirely blank below the header, suggesting broken content (likely a failed hero slider/image), making the site look non-functional. The overall design uses a dated template with poor visual hierarchy and no compelling content above the fold on desktop.",screenshots/ChIJ251ltGm7_YcRp5hVCEc3ca0/desktop.png,screenshots/ChIJ251ltGm7_YcRp5hVCEc3ca0/mobile.png,False,False,,,,,,,,,,,,,,,,2026-07-28T18:00:39.640380+00:00,2026-07-28T18:51:40.940279+00:00
ChIJ2SNBmJkms1IRXjgolnYrVLA,spray foam insulation,Duluth MN,"Stevens Insulation, LLC","15751 Central Ave NE, Ham Lake, MN 55304, USA",(763) 231-2166,http://www.stevensinsulationllc.com/,4.8,22,emailed,4,True,"The site uses a dated template with an oversized stock-photo hero slider, outdated logo styling, and weak visual hierarchy. On mobile, the phone number/CTA is not visible above the fold, requiring users to open the hamburger menu to find contact info.",screenshots/ChIJ2SNBmJkms1IRXjgolnYrVLA/desktop.png,screenshots/ChIJ2SNBmJkms1IRXjgolnYrVLA/mobile.png,True,True,stevensinsulationllc.com.html,https://stevendelarwelle.github.io/vet-demo-sites/stevensinsulationllc.com.html,2026-08-03T12:50:03.723730+00:00,Donnie@Stevensinsulationllc.com,r-7721128547428591585,19fc9220b7447bb1,19fc8672bc86adaa,2026-08-03T19:37:59+00:00,,,2026-08-10T19:37:59+00:00,,,,,2026-08-03T11:21:41.005008+00:00,2026-08-03T21:06:19.892507+00:00
ChIJ2bQYqKlNUk0RCnG4NJPmbZE,spray foam insulation,Green Bay WI,Elite Spray Foam Technologies,"W601 County Rd N, Niagara, WI 54151, USA",(920) 340-0565,,,,disqualified,1,True,no website on file,,,False,False,,,,,,,,,,,,,,,,2026-07-28T18:00:24.900435+00:00,2026-07-28T18:51:40.944326+00:00
ChIJ2bRweJbp-IcRZcfC5Jx7tis,spray foam insulation,Eau Claire WI,A+ Insulation Services,"W28721 US-10, Eleva, WI 54738, USA",(715) 577-0304,https://www.aplusinsulationec.com/,4.1,14,disqualified,1,True,site unreachable: HTTP 404,,,False,False,,,,,,,,,,,,,,,,2026-07-28T18:00:49.428510+00:00,2026-07-28T18:51:40.946895+00:00
ChIJ2whBcKFKrlIRa-IRxSY0nZY,spray foam insulation,Duluth MN,Northern Industrial Insulation,"3757 Midway Rd, Hermantown, MN 55810, USA",(218) 624-0574,http://www.niinsulation.com/,4.3,4,emailed,3,True,"The site is extremely bare and dated with no imagery, no visual hierarchy beyond plain text, a gradient header that feels early-2000s, and large empty white space. Mobile hides the CTA behind a hamburger menu, and there's no phone number visible above the fold on either viewport.",screenshots/ChIJ2whBcKFKrlIRa-IRxSY0nZY/desktop.png,screenshots/ChIJ2whBcKFKrlIRa-IRxSY0nZY/mobile.png,True,True,niinsulation.com.html,https://stevendelarwelle.github.io/vet-demo-sites/niinsulation.com.html,2026-07-29T11:54:24.930194+00:00,info@niinsulation.com,r3547547313927641364,19fc8eec1b403cce,19fc8674cde20c2a,2026-08-03T18:41:57+00:00,,,2026-08-10T18:41:57+00:00,,,,,2026-07-28T18:01:22.415454+00:00,2026-08-03T21:06:21.392562+00:00
